ID,link,country,time_id,recommend,value,fun,reviews,game,date,total_time,review_time
1,https://steamcommunity.com/profiles/76561198932216137/recommended/,Other,10,Recommended,0,0,"kox								",https://steamcommunity.com/app/1097150,"25 September, 2021",11,5.5
1,https://steamcommunity.com/profiles/76561198932216137/recommended/,Other,9,Recommended,0,0,"Ok								",https://steamcommunity.com/app/708720,"26 August, 2021",0.3,0.3
1,https://steamcommunity.com/profiles/76561198932216137/recommended/,Other,8,Recommended,0,0,"Fajna gra polecan								",https://steamcommunity.com/app/1034740,"26 August, 2021",0.3,0.3
1,https://steamcommunity.com/profiles/76561198932216137/recommended/,Other,7,Recommended,0,0,"Fajna gra polecan								",https://steamcommunity.com/app/291480,"26 August, 2021",0.7,0.7
1,https://steamcommunity.com/profiles/76561198932216137/recommended/,Other,6,Recommended,0,0,"Ok								",https://steamcommunity.com/app/792220,"26 August, 2021",0.9,0.9
1,https://steamcommunity.com/profiles/76561198932216137/recommended/,Other,5,Recommended,1,0,"Fajna gra polecan								",https://steamcommunity.com/app/218620,"26 August, 2021",5.5,5.5
1,https://steamcommunity.com/profiles/76561198932216137/recommended/,Other,4,Recommended,0,0,"Fajna gra polecan								",https://steamcommunity.com/app/1172470,"26 August, 2021",6,6
1,https://steamcommunity.com/profiles/76561198932216137/recommended/,Other,3,Recommended,0,0,"Fajna gra polecan								",https://steamcommunity.com/app/292030,"26 August, 2021",7.5,6.6
1,https://steamcommunity.com/profiles/76561198932216137/recommended/,Other,2,Recommended,0,0,"Fajna gra polecam								",https://steamcommunity.com/app/1262580,"26 August, 2021",21.7,10.1
1,https://steamcommunity.com/profiles/76561198932216137/recommended/,Other,1,Recommended,0,0,"Fajna gra polecam								",https://steamcommunity.com/app/1015500,"26 August, 2021",21.1,21.1
2,https://steamcommunity.com/profiles/76561198994857216/recommended/,Other,10,Recommended,0,0,"Spoko gierka								",https://steamcommunity.com/app/976730,23-May,63.4,26.6
2,https://steamcommunity.com/profiles/76561198994857216/recommended/,Other,9,Recommended,0,0,"git								",https://steamcommunity.com/app/1262560,"27 December, 2021",17.9,3.1
2,https://steamcommunity.com/profiles/76561198994857216/recommended/,Other,8,Recommended,0,0,"Gra jest spoko nic ująć nic dodać polecam								",https://steamcommunity.com/app/240,"26 November, 2021",20.1,3.1
2,https://steamcommunity.com/profiles/76561198994857216/recommended/,Other,7,Recommended,0,0,"Gra jest spoczko								",https://steamcommunity.com/app/1313860,"20 June, 2021",76.3,32.7
2,https://steamcommunity.com/profiles/76561198994857216/recommended/,Other,6,Recommended,0,0,"Gra jest bardzo dobra 10/10								",https://steamcommunity.com/app/20920,"25 November, 2021",6.6,3.4
2,https://steamcommunity.com/profiles/76561198994857216/recommended/,Other,5,Recommended,0,0,"Najlepsza gierka z 2007 roku polecam 10/10 :)								",https://steamcommunity.com/app/20900,"25 May, 2021",11,3.6
2,https://steamcommunity.com/profiles/76561198994857216/recommended/,Other,4,Recommended,0,0,"bardzo fajna gra								",https://steamcommunity.com/app/1237980,"17 March, 2021",5.2,4.3
2,https://steamcommunity.com/profiles/76561198994857216/recommended/,Other,3,Recommended,0,0,"Spoko gierka								",https://steamcommunity.com/app/289650,"29 January, 2021",23.1,10.5
2,https://steamcommunity.com/profiles/76561198994857216/recommended/,Other,2,Recommended,0,0,"Gra jest bardzo fajna lepsza od CS GO								",https://steamcommunity.com/app/10,"23 December, 2020",9.1,1.5
